0-1 loss=3.3535 dev_acc=0.0911 test_acc=0.0978 eps=250.32
0-2 loss=2.9598 dev_acc=0.1178 test_acc=0.1200 eps=258.26
0-3 loss=2.8307 dev_acc=0.1578 test_acc=0.1578 eps=260.74
0-4 loss=2.7771 dev_acc=0.1667 test_acc=0.1689 eps=262.11
0-5 loss=2.6454 dev_acc=0.2333 test_acc=0.2111 eps=260.19
0-6 loss=2.6234 dev_acc=0.2089 test_acc=0.2133 eps=249.35
0-7 loss=2.5405 dev_acc=0.1733 test_acc=0.1689 eps=194.70
0-8 loss=2.5152 dev_acc=0.2644 test_acc=0.2356 eps=206.36
0-9 loss=2.4332 dev_acc=0.1667 test_acc=0.1644 eps=204.51
0-10 loss=2.3558 dev_acc=0.3044 test_acc=0.2756 eps=203.94
0-11 loss=2.2904 dev_acc=0.2533 test_acc=0.2289 eps=204.33
0-12 loss=2.2146 dev_acc=0.2978 test_acc=0.2044 eps=204.54
0-13 loss=2.1650 dev_acc=0.2867 test_acc=0.2422 eps=207.33
0-14 loss=2.0504 dev_acc=0.4044 test_acc=0.3467 eps=208.68
0-15 loss=1.9510 dev_acc=0.3333 test_acc=0.3289 eps=208.12
0-16 loss=1.8789 dev_acc=0.3111 test_acc=0.2222 eps=209.73
0-17 loss=1.8278 dev_acc=0.3956 test_acc=0.3133 eps=208.09
0-18 loss=1.7264 dev_acc=0.5111 test_acc=0.4222 eps=209.87
0-19 loss=1.7404 dev_acc=0.2711 test_acc=0.1978 eps=196.77
0-20 loss=1.6196 dev_acc=0.3956 test_acc=0.3689 eps=207.31
0-21 loss=1.5775 dev_acc=0.5000 test_acc=0.3889 eps=199.17
0-22 loss=1.4987 dev_acc=0.3533 test_acc=0.2511 eps=201.93
0-23 loss=1.4228 dev_acc=0.2956 test_acc=0.2156 eps=201.66
0-24 loss=1.3467 dev_acc=0.2778 test_acc=0.2067 eps=204.28
0-25 loss=1.3134 dev_acc=0.1867 test_acc=0.1556 eps=205.83
0-26 loss=1.2417 dev_acc=0.5422 test_acc=0.4489 eps=203.23
0-27 loss=1.1493 dev_acc=0.6089 test_acc=0.5178 eps=201.50
0-28 loss=1.0877 dev_acc=0.4689 test_acc=0.4178 eps=203.82
0-29 loss=1.0518 dev_acc=0.6178 test_acc=0.5156 eps=203.84
0-30 loss=0.9708 dev_acc=0.6244 test_acc=0.5156 eps=207.01
0-31 loss=0.9124 dev_acc=0.2489 test_acc=0.2267 eps=201.87
0-32 loss=0.8832 dev_acc=0.2867 test_acc=0.2111 eps=203.95
0-33 loss=0.8423 dev_acc=0.3711 test_acc=0.3000 eps=206.78
0-34 loss=0.7745 dev_acc=0.4156 test_acc=0.3756 eps=204.38
