0-1 loss=3.3538 dev_acc=0.1133 test_acc=0.0867 eps=157.62
0-2 loss=2.9708 dev_acc=0.1533 test_acc=0.1489 eps=158.57
0-3 loss=2.8647 dev_acc=0.1956 test_acc=0.1467 eps=157.67
0-4 loss=2.7420 dev_acc=0.1578 test_acc=0.1489 eps=124.58
0-5 loss=2.6882 dev_acc=0.2289 test_acc=0.1978 eps=126.23
0-6 loss=2.6197 dev_acc=0.1622 test_acc=0.1378 eps=122.13
0-7 loss=2.5533 dev_acc=0.1622 test_acc=0.1511 eps=121.75
0-8 loss=2.5050 dev_acc=0.1911 test_acc=0.1511 eps=124.31
0-9 loss=2.4494 dev_acc=0.2156 test_acc=0.1956 eps=122.95
0-10 loss=2.3952 dev_acc=0.2267 test_acc=0.2244 eps=124.44
0-11 loss=2.3409 dev_acc=0.1911 test_acc=0.1222 eps=122.88
0-12 loss=2.2714 dev_acc=0.3022 test_acc=0.2467 eps=119.34
0-13 loss=2.1923 dev_acc=0.2644 test_acc=0.2378 eps=120.89
0-14 loss=2.1055 dev_acc=0.3022 test_acc=0.2533 eps=123.01
0-15 loss=2.0526 dev_acc=0.3311 test_acc=0.2733 eps=123.36
0-16 loss=2.0363 dev_acc=0.3600 test_acc=0.3111 eps=123.17
0-17 loss=1.9488 dev_acc=0.4222 test_acc=0.3644 eps=123.43
0-18 loss=1.8587 dev_acc=0.3644 test_acc=0.3356 eps=119.84
0-19 loss=1.8230 dev_acc=0.4356 test_acc=0.3600 eps=123.95
0-20 loss=1.7672 dev_acc=0.4311 test_acc=0.3467 eps=124.72
0-21 loss=1.6741 dev_acc=0.4733 test_acc=0.3889 eps=123.55
0-22 loss=1.6309 dev_acc=0.3556 test_acc=0.3356 eps=125.35
0-23 loss=1.5693 dev_acc=0.2267 test_acc=0.2044 eps=124.60
0-24 loss=1.5168 dev_acc=0.4333 test_acc=0.3578 eps=123.98
0-25 loss=1.4319 dev_acc=0.6244 test_acc=0.4711 eps=124.76
0-26 loss=1.3191 dev_acc=0.5356 test_acc=0.4533 eps=124.19
0-27 loss=1.2515 dev_acc=0.5244 test_acc=0.4333 eps=123.99
0-28 loss=1.1794 dev_acc=0.6244 test_acc=0.4867 eps=123.56
0-29 loss=1.0857 dev_acc=0.5000 test_acc=0.3867 eps=124.02
0-30 loss=1.0492 dev_acc=0.7111 test_acc=0.5511 eps=123.51
0-31 loss=0.9586 dev_acc=0.7178 test_acc=0.5711 eps=122.10
0-32 loss=0.9012 dev_acc=0.6444 test_acc=0.5200 eps=123.77
0-33 loss=0.8219 dev_acc=0.7622 test_acc=0.6067 eps=122.68
0-34 loss=0.7512 dev_acc=0.8067 test_acc=0.6356 eps=124.88
0-35 loss=0.7021 dev_acc=0.5311 test_acc=0.4378 eps=121.14
0-36 loss=0.6780 dev_acc=0.7911 test_acc=0.6733 eps=124.16
0-37 loss=0.6596 dev_acc=0.8022 test_acc=0.6444 eps=124.05
0-38 loss=0.5878 dev_acc=0.6267 test_acc=0.4911 eps=123.45
0-39 loss=0.5495 dev_acc=0.8244 test_acc=0.6467 eps=123.29
0-40 loss=0.4932 dev_acc=0.8444 test_acc=0.6733 eps=122.97
0-41 loss=0.4686 dev_acc=0.8333 test_acc=0.6578 eps=122.87
0-42 loss=0.4621 dev_acc=0.7689 test_acc=0.5822 eps=123.39
0-43 loss=0.4285 dev_acc=0.6844 test_acc=0.5711 eps=123.93
0-44 loss=0.3984 dev_acc=0.8933 test_acc=0.7000 eps=123.79
0-45 loss=0.3673 dev_acc=0.8511 test_acc=0.6556 eps=122.86
0-46 loss=0.3354 dev_acc=0.7644 test_acc=0.6089 eps=124.39
0-47 loss=0.3250 dev_acc=0.7622 test_acc=0.6289 eps=124.76
0-48 loss=0.3348 dev_acc=0.9200 test_acc=0.7156 eps=123.73
0-49 loss=0.2990 dev_acc=0.8978 test_acc=0.7044 eps=123.92
0-50 loss=0.2720 dev_acc=0.9156 test_acc=0.7000 eps=125.21
0-51 loss=0.2236 dev_acc=0.9156 test_acc=0.7000 eps=125.69
0-52 loss=0.2375 dev_acc=0.9178 test_acc=0.6978 eps=126.97
0-53 loss=0.2321 dev_acc=0.9200 test_acc=0.7089 eps=124.75
0-54 loss=0.2292 dev_acc=0.9400 test_acc=0.7289 eps=124.45
0-55 loss=0.2048 dev_acc=0.9467 test_acc=0.7267 eps=124.66
0-56 loss=0.1771 dev_acc=0.9489 test_acc=0.7467 eps=123.39
