0-1 loss=3.2388 dev_acc=0.1622 test_acc=0.1378 eps=189.91
0-2 loss=2.8241 dev_acc=0.2400 test_acc=0.1800 eps=191.69
0-3 loss=2.6130 dev_acc=0.2800 test_acc=0.2289 eps=195.70
0-4 loss=2.4397 dev_acc=0.2911 test_acc=0.2378 eps=201.40
0-5 loss=2.3228 dev_acc=0.3578 test_acc=0.3022 eps=200.70
0-6 loss=2.2239 dev_acc=0.2378 test_acc=0.2667 eps=202.27
0-7 loss=2.1693 dev_acc=0.4067 test_acc=0.3333 eps=200.40
0-8 loss=2.0339 dev_acc=0.4333 test_acc=0.3422 eps=203.87
0-9 loss=1.9647 dev_acc=0.3867 test_acc=0.3244 eps=200.33
0-10 loss=1.8739 dev_acc=0.4489 test_acc=0.3689 eps=203.93
0-11 loss=1.7790 dev_acc=0.4267 test_acc=0.3533 eps=201.30
0-12 loss=1.7093 dev_acc=0.4956 test_acc=0.4133 eps=201.42
0-13 loss=1.5967 dev_acc=0.4511 test_acc=0.4022 eps=203.43
0-14 loss=1.5198 dev_acc=0.4978 test_acc=0.4022 eps=200.84
0-15 loss=1.4769 dev_acc=0.5422 test_acc=0.4778 eps=205.45
0-16 loss=1.3586 dev_acc=0.5800 test_acc=0.5022 eps=204.98
0-17 loss=1.2983 dev_acc=0.6267 test_acc=0.5289 eps=203.76
0-18 loss=1.2340 dev_acc=0.6178 test_acc=0.5111 eps=207.38
0-19 loss=1.1688 dev_acc=0.6711 test_acc=0.5089 eps=205.04
0-20 loss=1.0988 dev_acc=0.5956 test_acc=0.5244 eps=203.72
0-21 loss=1.0485 dev_acc=0.6133 test_acc=0.5356 eps=206.05
0-22 loss=1.0001 dev_acc=0.6556 test_acc=0.5311 eps=203.51
0-23 loss=0.9794 dev_acc=0.6311 test_acc=0.5267 eps=205.40
0-24 loss=0.9458 dev_acc=0.5022 test_acc=0.4311 eps=207.55
0-25 loss=0.8659 dev_acc=0.7156 test_acc=0.5511 eps=205.77
0-26 loss=0.8593 dev_acc=0.7378 test_acc=0.5600 eps=204.31
0-27 loss=0.8148 dev_acc=0.6978 test_acc=0.5400 eps=203.54
0-28 loss=0.7862 dev_acc=0.7156 test_acc=0.5711 eps=199.21
0-29 loss=0.7639 dev_acc=0.7556 test_acc=0.6000 eps=199.79
0-30 loss=0.7204 dev_acc=0.6756 test_acc=0.5067 eps=196.17
0-31 loss=0.6880 dev_acc=0.7200 test_acc=0.5822 eps=201.51
0-32 loss=0.6591 dev_acc=0.7622 test_acc=0.6156 eps=203.34
0-33 loss=0.6207 dev_acc=0.8089 test_acc=0.6378 eps=201.29
0-34 loss=0.5982 dev_acc=0.8044 test_acc=0.6400 eps=203.11
0-35 loss=0.5930 dev_acc=0.7667 test_acc=0.6044 eps=204.47
0-36 loss=0.5568 dev_acc=0.8356 test_acc=0.6156 eps=200.59
0-37 loss=0.5243 dev_acc=0.8178 test_acc=0.6356 eps=205.15
0-38 loss=0.5026 dev_acc=0.8289 test_acc=0.6511 eps=204.02
0-39 loss=0.4980 dev_acc=0.8000 test_acc=0.6444 eps=202.49
0-40 loss=0.4692 dev_acc=0.8267 test_acc=0.6444 eps=205.36
0-41 loss=0.4475 dev_acc=0.8533 test_acc=0.6422 eps=202.66
0-42 loss=0.4078 dev_acc=0.8067 test_acc=0.6267 eps=203.69
0-43 loss=0.4176 dev_acc=0.8667 test_acc=0.6889 eps=205.14
0-44 loss=0.3974 dev_acc=0.7933 test_acc=0.6222 eps=202.43
0-45 loss=0.3865 dev_acc=0.8733 test_acc=0.6733 eps=203.28
0-46 loss=0.3502 dev_acc=0.9000 test_acc=0.6800 eps=203.59
0-47 loss=0.3346 dev_acc=0.8911 test_acc=0.6711 eps=201.16
0-48 loss=0.3277 dev_acc=0.8622 test_acc=0.6667 eps=203.50
0-49 loss=0.3039 dev_acc=0.8689 test_acc=0.6578 eps=201.71
0-50 loss=0.2947 dev_acc=0.8244 test_acc=0.6244 eps=200.64
0-51 loss=0.2930 dev_acc=0.9111 test_acc=0.7111 eps=202.88
0-52 loss=0.2632 dev_acc=0.9267 test_acc=0.7089 eps=200.32
0-53 loss=0.2626 dev_acc=0.8978 test_acc=0.6844 eps=202.38
0-54 loss=0.2607 dev_acc=0.9356 test_acc=0.7289 eps=202.66
0-55 loss=0.2403 dev_acc=0.9067 test_acc=0.6800 eps=200.61
0-56 loss=0.2368 dev_acc=0.9333 test_acc=0.7022 eps=204.07
0-57 loss=0.2111 dev_acc=0.8711 test_acc=0.6933 eps=204.56
0-58 loss=0.1981 dev_acc=0.8800 test_acc=0.6778 eps=201.80
0-59 loss=0.2185 dev_acc=0.9467 test_acc=0.6933 eps=206.11
0-60 loss=0.1835 dev_acc=0.9511 test_acc=0.7200 eps=203.68
0-61 loss=0.1774 dev_acc=0.9378 test_acc=0.7244 eps=204.54
0-62 loss=0.1826 dev_acc=0.8133 test_acc=0.6111 eps=206.25
0-63 loss=0.1855 dev_acc=0.9622 test_acc=0.7044 eps=202.75
0-64 loss=0.1576 dev_acc=0.9667 test_acc=0.6978 eps=204.11
0-65 loss=0.1751 dev_acc=0.9222 test_acc=0.6956 eps=203.76
0-66 loss=0.1435 dev_acc=0.9800 test_acc=0.7178 eps=201.27
0-67 loss=0.1304 dev_acc=0.9867 test_acc=0.7267 eps=204.15
0-68 loss=0.1468 dev_acc=0.8689 test_acc=0.5844 eps=201.30
0-69 loss=0.1301 dev_acc=0.9844 test_acc=0.7178 eps=199.21
0-70 loss=0.1199 dev_acc=0.9800 test_acc=0.7267 eps=202.70
0-71 loss=0.1215 dev_acc=0.9867 test_acc=0.7178 eps=200.91
0-72 loss=0.1184 dev_acc=0.9778 test_acc=0.7178 eps=202.45
0-73 loss=0.1230 dev_acc=0.9889 test_acc=0.7333 eps=202.39
0-74 loss=0.1040 dev_acc=0.9956 test_acc=0.7444 eps=200.04
