0-1 loss=3.4216 dev_acc=0.0867 test_acc=0.0778 eps=169.46
0-2 loss=3.0757 dev_acc=0.1556 test_acc=0.1333 eps=169.54
0-3 loss=2.9028 dev_acc=0.1600 test_acc=0.1222 eps=170.91
0-4 loss=2.8407 dev_acc=0.2044 test_acc=0.1778 eps=163.08
0-5 loss=2.7340 dev_acc=0.2222 test_acc=0.2178 eps=166.13
0-6 loss=2.6352 dev_acc=0.1844 test_acc=0.1956 eps=172.26
0-7 loss=2.5919 dev_acc=0.1911 test_acc=0.1600 eps=174.31
0-8 loss=2.5615 dev_acc=0.1267 test_acc=0.1622 eps=175.81
0-9 loss=2.4947 dev_acc=0.2111 test_acc=0.2156 eps=174.55
0-10 loss=2.4478 dev_acc=0.2667 test_acc=0.2689 eps=176.96
0-11 loss=2.4838 dev_acc=0.2022 test_acc=0.1867 eps=175.55
0-12 loss=2.3337 dev_acc=0.1467 test_acc=0.1711 eps=176.34
0-13 loss=2.2539 dev_acc=0.1467 test_acc=0.1467 eps=176.22
0-14 loss=2.1871 dev_acc=0.2422 test_acc=0.2333 eps=175.28
0-15 loss=2.0979 dev_acc=0.3022 test_acc=0.2844 eps=176.20
0-16 loss=2.0450 dev_acc=0.2689 test_acc=0.2133 eps=173.37
0-17 loss=1.9363 dev_acc=0.1533 test_acc=0.1533 eps=176.04
0-18 loss=1.8039 dev_acc=0.3889 test_acc=0.4000 eps=174.46
0-19 loss=1.6886 dev_acc=0.4733 test_acc=0.4822 eps=175.25
0-20 loss=1.6082 dev_acc=0.4756 test_acc=0.4489 eps=175.86
0-21 loss=1.4748 dev_acc=0.5356 test_acc=0.5222 eps=175.21
0-22 loss=1.4019 dev_acc=0.5244 test_acc=0.4978 eps=176.64
0-23 loss=1.3269 dev_acc=0.5756 test_acc=0.5489 eps=175.02
0-24 loss=1.2487 dev_acc=0.1311 test_acc=0.1311 eps=173.34
0-25 loss=1.1377 dev_acc=0.5533 test_acc=0.5289 eps=175.87
0-26 loss=1.0892 dev_acc=0.5556 test_acc=0.5778 eps=174.67
0-27 loss=1.0453 dev_acc=0.7089 test_acc=0.7044 eps=176.69
0-28 loss=0.9388 dev_acc=0.6067 test_acc=0.5733 eps=175.10
0-29 loss=0.9187 dev_acc=0.6511 test_acc=0.6733 eps=176.61
0-30 loss=0.8326 dev_acc=0.4200 test_acc=0.4133 eps=176.10
0-31 loss=0.7963 dev_acc=0.7111 test_acc=0.6933 eps=175.70
0-32 loss=0.7183 dev_acc=0.3911 test_acc=0.3756 eps=176.97
0-33 loss=0.6784 dev_acc=0.7467 test_acc=0.7178 eps=174.65
0-34 loss=0.6359 dev_acc=0.6244 test_acc=0.5911 eps=176.58
0-35 loss=0.6318 dev_acc=0.7422 test_acc=0.7333 eps=175.57
0-36 loss=0.5705 dev_acc=0.7689 test_acc=0.7089 eps=175.86
0-37 loss=0.5326 dev_acc=0.8533 test_acc=0.7733 eps=175.10
0-38 loss=0.4928 dev_acc=0.8444 test_acc=0.7822 eps=174.72
0-39 loss=0.4742 dev_acc=0.7867 test_acc=0.7444 eps=176.70
0-40 loss=0.4389 dev_acc=0.8444 test_acc=0.7711 eps=174.99
0-41 loss=0.4628 dev_acc=0.7578 test_acc=0.7444 eps=176.19
0-42 loss=0.3890 dev_acc=0.6489 test_acc=0.6178 eps=174.96
0-43 loss=0.3950 dev_acc=0.8933 test_acc=0.8333 eps=173.87
0-44 loss=0.3622 dev_acc=0.7578 test_acc=0.6933 eps=171.64
0-45 loss=0.3186 dev_acc=0.7844 test_acc=0.7311 eps=170.32
0-46 loss=0.3196 dev_acc=0.7889 test_acc=0.7422 eps=172.54
0-47 loss=0.3213 dev_acc=0.8844 test_acc=0.7844 eps=168.86
0-48 loss=0.2825 dev_acc=0.5356 test_acc=0.4978 eps=169.99
0-49 loss=0.2625 dev_acc=0.8778 test_acc=0.7667 eps=170.27
0-50 loss=0.2760 dev_acc=0.9067 test_acc=0.8000 eps=168.53
0-51 loss=0.2424 dev_acc=0.8956 test_acc=0.7867 eps=170.98
0-52 loss=0.2299 dev_acc=0.8578 test_acc=0.7756 eps=168.58
