0-1 loss=3.2128 dev_acc=0.1489 test_acc=0.1489 eps=163.72
0-2 loss=2.8348 dev_acc=0.2644 test_acc=0.2489 eps=164.65
0-3 loss=2.5710 dev_acc=0.2378 test_acc=0.2489 eps=167.18
0-4 loss=2.4572 dev_acc=0.2889 test_acc=0.3067 eps=165.63
0-5 loss=2.2954 dev_acc=0.3600 test_acc=0.3067 eps=170.19
0-6 loss=2.1530 dev_acc=0.2911 test_acc=0.3067 eps=168.01
0-7 loss=2.0714 dev_acc=0.3178 test_acc=0.3067 eps=169.65
0-8 loss=1.9722 dev_acc=0.3733 test_acc=0.3489 eps=170.06
0-9 loss=1.8357 dev_acc=0.3556 test_acc=0.3578 eps=170.06
0-10 loss=1.7104 dev_acc=0.5244 test_acc=0.4800 eps=169.09
0-11 loss=1.5834 dev_acc=0.4800 test_acc=0.4067 eps=168.16
0-12 loss=1.4759 dev_acc=0.2422 test_acc=0.2311 eps=169.76
0-13 loss=1.3799 dev_acc=0.4333 test_acc=0.4244 eps=169.44
0-14 loss=1.3151 dev_acc=0.5178 test_acc=0.4644 eps=171.29
0-15 loss=1.2410 dev_acc=0.5044 test_acc=0.4311 eps=170.97
0-16 loss=1.1417 dev_acc=0.2911 test_acc=0.2622 eps=169.43
0-17 loss=1.0648 dev_acc=0.6622 test_acc=0.5689 eps=171.64
0-18 loss=1.0062 dev_acc=0.4644 test_acc=0.4378 eps=167.08
0-19 loss=0.9486 dev_acc=0.7311 test_acc=0.6600 eps=171.40
0-20 loss=0.8751 dev_acc=0.4578 test_acc=0.4689 eps=169.84
0-21 loss=0.8062 dev_acc=0.7089 test_acc=0.6578 eps=169.66
0-22 loss=0.7921 dev_acc=0.5422 test_acc=0.5156 eps=176.10
0-23 loss=0.7288 dev_acc=0.3756 test_acc=0.3133 eps=182.15
0-24 loss=0.6839 dev_acc=0.7822 test_acc=0.7067 eps=184.79
0-25 loss=0.6372 dev_acc=0.7889 test_acc=0.7222 eps=191.10
0-26 loss=0.6141 dev_acc=0.8289 test_acc=0.7244 eps=192.17
0-27 loss=0.5577 dev_acc=0.7844 test_acc=0.6756 eps=194.52
0-28 loss=0.5398 dev_acc=0.8444 test_acc=0.7400 eps=189.36
0-29 loss=0.5160 dev_acc=0.8022 test_acc=0.7067 eps=192.92
0-30 loss=0.4816 dev_acc=0.8444 test_acc=0.7467 eps=192.50
0-31 loss=0.4422 dev_acc=0.8133 test_acc=0.7244 eps=189.53
0-32 loss=0.4185 dev_acc=0.8578 test_acc=0.7489 eps=192.44
