0-1 loss=3.2068 dev_acc=0.1267 test_acc=0.0889 eps=331.54
0-2 loss=2.7636 dev_acc=0.2000 test_acc=0.1711 eps=340.26
0-3 loss=2.5537 dev_acc=0.2156 test_acc=0.1800 eps=338.67
0-4 loss=2.4395 dev_acc=0.2800 test_acc=0.2600 eps=338.21
0-5 loss=2.1202 dev_acc=0.2733 test_acc=0.2244 eps=337.75
0-6 loss=1.7787 dev_acc=0.2067 test_acc=0.1978 eps=313.66
0-7 loss=1.3854 dev_acc=0.5111 test_acc=0.5133 eps=315.02
0-8 loss=1.0471 dev_acc=0.2089 test_acc=0.1956 eps=311.43
0-9 loss=0.8352 dev_acc=0.6711 test_acc=0.6244 eps=307.93
0-10 loss=0.6719 dev_acc=0.8444 test_acc=0.8267 eps=220.73
0-11 loss=0.5527 dev_acc=0.8511 test_acc=0.8156 eps=229.08
0-12 loss=0.5021 dev_acc=0.8667 test_acc=0.8244 eps=219.66
0-13 loss=0.4547 dev_acc=0.7467 test_acc=0.7178 eps=226.55
0-14 loss=0.3836 dev_acc=0.8800 test_acc=0.8489 eps=221.86
0-15 loss=0.3543 dev_acc=0.8622 test_acc=0.8222 eps=223.41
0-16 loss=0.3138 dev_acc=0.9089 test_acc=0.8489 eps=222.99
0-17 loss=0.2861 dev_acc=0.9178 test_acc=0.8778 eps=228.27
0-18 loss=0.2510 dev_acc=0.8933 test_acc=0.8622 eps=216.33
0-19 loss=0.2494 dev_acc=0.9200 test_acc=0.8844 eps=220.77
0-20 loss=0.2205 dev_acc=0.8822 test_acc=0.8400 eps=215.16
0-21 loss=0.2169 dev_acc=0.9311 test_acc=0.8867 eps=227.67
0-22 loss=0.2087 dev_acc=0.9200 test_acc=0.8644 eps=214.31
0-23 loss=0.2027 dev_acc=0.9289 test_acc=0.8844 eps=216.58
0-24 loss=0.1637 dev_acc=0.9267 test_acc=0.8889 eps=211.38
0-25 loss=0.1711 dev_acc=0.9333 test_acc=0.8822 eps=213.43
0-26 loss=0.1454 dev_acc=0.9378 test_acc=0.8867 eps=215.12
0-27 loss=0.1600 dev_acc=0.9556 test_acc=0.9022 eps=213.81
0-28 loss=0.1338 dev_acc=0.9511 test_acc=0.9200 eps=212.49
0-29 loss=0.1331 dev_acc=0.9133 test_acc=0.8356 eps=220.09
0-30 loss=0.1472 dev_acc=0.9578 test_acc=0.9111 eps=212.27
0-31 loss=0.1115 dev_acc=0.9533 test_acc=0.9133 eps=215.01
0-32 loss=0.1225 dev_acc=0.9644 test_acc=0.9333 eps=224.29
0-33 loss=0.1221 dev_acc=0.9600 test_acc=0.8889 eps=218.68
0-34 loss=0.1233 dev_acc=0.9622 test_acc=0.9022 eps=220.97
0-35 loss=0.1049 dev_acc=0.9667 test_acc=0.9133 eps=214.16
0-36 loss=0.0997 dev_acc=0.9622 test_acc=0.8889 eps=214.02
0-37 loss=0.1046 dev_acc=0.9622 test_acc=0.9289 eps=216.68
0-38 loss=0.0904 dev_acc=0.9711 test_acc=0.9044 eps=219.73
0-39 loss=0.1056 dev_acc=0.9622 test_acc=0.9067 eps=217.08
0-40 loss=0.0925 dev_acc=0.9778 test_acc=0.9333 eps=218.61
0-41 loss=0.0955 dev_acc=0.9756 test_acc=0.9111 eps=216.77
0-42 loss=0.0763 dev_acc=0.9689 test_acc=0.9089 eps=215.81
0-43 loss=0.0890 dev_acc=0.9578 test_acc=0.8889 eps=211.34
0-44 loss=0.0797 dev_acc=0.9644 test_acc=0.8756 eps=219.75
0-45 loss=0.0780 dev_acc=0.9822 test_acc=0.9133 eps=216.49
0-46 loss=0.0623 dev_acc=0.9867 test_acc=0.9356 eps=212.46
0-47 loss=0.0551 dev_acc=0.9844 test_acc=0.9267 eps=220.94
0-48 loss=0.0833 dev_acc=0.8644 test_acc=0.7956 eps=217.71
0-49 loss=0.0649 dev_acc=0.9756 test_acc=0.9133 eps=218.28
