0-1 loss=3.2568 dev_acc=0.0356 test_acc=0.0622 eps=207.91
0-2 loss=2.7731 dev_acc=0.1467 test_acc=0.1556 eps=207.90
0-3 loss=2.5526 dev_acc=0.1911 test_acc=0.2067 eps=165.97
0-4 loss=2.3064 dev_acc=0.2911 test_acc=0.3000 eps=136.63
0-5 loss=2.0279 dev_acc=0.4111 test_acc=0.4178 eps=135.10
0-6 loss=1.6615 dev_acc=0.4711 test_acc=0.5600 eps=135.75
0-7 loss=1.2709 dev_acc=0.1578 test_acc=0.1689 eps=133.66
0-8 loss=0.9828 dev_acc=0.4956 test_acc=0.5422 eps=133.21
0-9 loss=0.7755 dev_acc=0.7556 test_acc=0.7422 eps=134.15
0-10 loss=0.6466 dev_acc=0.5689 test_acc=0.5489 eps=132.16
0-11 loss=0.5123 dev_acc=0.7244 test_acc=0.6733 eps=136.49
0-12 loss=0.4510 dev_acc=0.8422 test_acc=0.8422 eps=132.79
0-13 loss=0.3997 dev_acc=0.8756 test_acc=0.8444 eps=132.02
0-14 loss=0.3699 dev_acc=0.8822 test_acc=0.9000 eps=133.47
0-15 loss=0.3039 dev_acc=0.8489 test_acc=0.8422 eps=133.29
0-16 loss=0.3407 dev_acc=0.8889 test_acc=0.8689 eps=132.60
0-17 loss=0.2659 dev_acc=0.8978 test_acc=0.8733 eps=133.44
0-18 loss=0.2680 dev_acc=0.8978 test_acc=0.8600 eps=134.88
0-19 loss=0.2540 dev_acc=0.9156 test_acc=0.8822 eps=133.16
0-20 loss=0.2295 dev_acc=0.9311 test_acc=0.9200 eps=135.30
0-21 loss=0.2488 dev_acc=0.9133 test_acc=0.8933 eps=131.34
0-22 loss=0.1841 dev_acc=0.9000 test_acc=0.8911 eps=135.41
0-23 loss=0.2053 dev_acc=0.9089 test_acc=0.9022 eps=130.41
0-24 loss=0.2018 dev_acc=0.9356 test_acc=0.9044 eps=136.81
0-25 loss=0.1717 dev_acc=0.9222 test_acc=0.8867 eps=131.04
0-26 loss=0.1762 dev_acc=0.9311 test_acc=0.9044 eps=132.76
0-27 loss=0.1654 dev_acc=0.7778 test_acc=0.7022 eps=133.43
0-28 loss=0.1768 dev_acc=0.9311 test_acc=0.8956 eps=134.15
0-29 loss=0.1498 dev_acc=0.9378 test_acc=0.9022 eps=134.37
0-30 loss=0.1394 dev_acc=0.9133 test_acc=0.8978 eps=136.85
0-31 loss=0.1436 dev_acc=0.9022 test_acc=0.8778 eps=133.50
0-32 loss=0.1413 dev_acc=0.9467 test_acc=0.9311 eps=132.16
0-33 loss=0.1184 dev_acc=0.9422 test_acc=0.9356 eps=133.91
0-34 loss=0.1081 dev_acc=0.9489 test_acc=0.9444 eps=133.83
0-35 loss=0.1404 dev_acc=0.9378 test_acc=0.9178 eps=135.07
0-36 loss=0.1019 dev_acc=0.9400 test_acc=0.9244 eps=133.08
0-37 loss=0.1245 dev_acc=0.9311 test_acc=0.8756 eps=136.18
0-38 loss=0.1195 dev_acc=0.9556 test_acc=0.9200 eps=131.60
0-39 loss=0.1057 dev_acc=0.9400 test_acc=0.9133 eps=132.85
0-40 loss=0.1083 dev_acc=0.9489 test_acc=0.9156 eps=135.52
0-41 loss=0.1078 dev_acc=0.9600 test_acc=0.9267 eps=133.57
0-42 loss=0.0981 dev_acc=0.9667 test_acc=0.9444 eps=133.30
0-43 loss=0.0830 dev_acc=0.9644 test_acc=0.9378 eps=132.18
0-44 loss=0.0940 dev_acc=0.9311 test_acc=0.8956 eps=134.72
0-45 loss=0.1129 dev_acc=0.9511 test_acc=0.9178 eps=133.13
0-46 loss=0.0944 dev_acc=0.9444 test_acc=0.9356 eps=135.49
0-47 loss=0.0940 dev_acc=0.9467 test_acc=0.9267 eps=132.95
0-48 loss=0.0876 dev_acc=0.9533 test_acc=0.9422 eps=133.92
0-49 loss=0.0792 dev_acc=0.9089 test_acc=0.8978 eps=133.20
0-50 loss=0.0967 dev_acc=0.9600 test_acc=0.9400 eps=134.71
0-51 loss=0.0784 dev_acc=0.9578 test_acc=0.9311 eps=133.63
0-52 loss=0.0680 dev_acc=0.9511 test_acc=0.9444 eps=132.86
0-53 loss=0.0981 dev_acc=0.9622 test_acc=0.9356 eps=132.54
0-54 loss=0.0689 dev_acc=0.9489 test_acc=0.9267 eps=134.49
0-55 loss=0.0724 dev_acc=0.9711 test_acc=0.9444 eps=135.10
0-56 loss=0.0782 dev_acc=0.9644 test_acc=0.9356 eps=131.32
0-57 loss=0.0700 dev_acc=0.9622 test_acc=0.9267 eps=133.24
0-58 loss=0.0632 dev_acc=0.9600 test_acc=0.9311 eps=131.38
0-59 loss=0.0704 dev_acc=0.9689 test_acc=0.9289 eps=136.07
1-1 loss=3.2546 dev_acc=0.1089 test_acc=0.1378 eps=133.39
1-2 loss=2.7632 dev_acc=0.0289 test_acc=0.0267 eps=134.77
1-3 loss=2.5874 dev_acc=0.0289 test_acc=0.0467 eps=134.94
1-4 loss=2.4318 dev_acc=0.1644 test_acc=0.1933 eps=133.43
1-5 loss=2.1059 dev_acc=0.2933 test_acc=0.2356 eps=133.86
1-6 loss=1.8236 dev_acc=0.2289 test_acc=0.2044 eps=133.71
1-7 loss=1.5182 dev_acc=0.5311 test_acc=0.4911 eps=136.34
1-8 loss=1.2105 dev_acc=0.4800 test_acc=0.4556 eps=133.94
1-9 loss=0.9436 dev_acc=0.3711 test_acc=0.4444 eps=134.90
1-10 loss=0.7500 dev_acc=0.8222 test_acc=0.7556 eps=132.63
1-11 loss=0.6452 dev_acc=0.8333 test_acc=0.7756 eps=133.32
1-12 loss=0.5297 dev_acc=0.7911 test_acc=0.8156 eps=135.14
1-13 loss=0.4509 dev_acc=0.8489 test_acc=0.8689 eps=133.58
1-14 loss=0.3945 dev_acc=0.8844 test_acc=0.8711 eps=134.63
1-15 loss=0.3958 dev_acc=0.8844 test_acc=0.8756 eps=134.34
1-16 loss=0.3630 dev_acc=0.8889 test_acc=0.8711 eps=134.09
1-17 loss=0.3200 dev_acc=0.8622 test_acc=0.8422 eps=133.89
1-18 loss=0.2823 dev_acc=0.9000 test_acc=0.8711 eps=135.61
1-19 loss=0.2775 dev_acc=0.8778 test_acc=0.8911 eps=133.38
1-20 loss=0.2546 dev_acc=0.9156 test_acc=0.8933 eps=134.22
1-21 loss=0.2408 dev_acc=0.8778 test_acc=0.8622 eps=137.25
1-22 loss=0.2334 dev_acc=0.8978 test_acc=0.8733 eps=132.79
1-23 loss=0.2219 dev_acc=0.9178 test_acc=0.8933 eps=136.61
1-24 loss=0.2156 dev_acc=0.9089 test_acc=0.8756 eps=133.64
1-25 loss=0.1956 dev_acc=0.9267 test_acc=0.8822 eps=134.34
1-26 loss=0.1713 dev_acc=0.9200 test_acc=0.8867 eps=135.71
1-27 loss=0.1679 dev_acc=0.9267 test_acc=0.8978 eps=134.00
1-28 loss=0.1649 dev_acc=0.9400 test_acc=0.8911 eps=132.74
1-29 loss=0.1631 dev_acc=0.9289 test_acc=0.9067 eps=134.15
1-30 loss=0.1741 dev_acc=0.9400 test_acc=0.8889 eps=134.59
1-31 loss=0.1384 dev_acc=0.9422 test_acc=0.9178 eps=134.89
1-32 loss=0.1342 dev_acc=0.9467 test_acc=0.9178 eps=134.58
1-33 loss=0.1378 dev_acc=0.9356 test_acc=0.9022 eps=138.96
1-34 loss=0.1299 dev_acc=0.9578 test_acc=0.9111 eps=132.21
1-35 loss=0.1587 dev_acc=0.9533 test_acc=0.9000 eps=133.91
1-36 loss=0.1320 dev_acc=0.9578 test_acc=0.9244 eps=136.07
1-37 loss=0.1341 dev_acc=0.9578 test_acc=0.8933 eps=136.76
1-38 loss=0.1077 dev_acc=0.9667 test_acc=0.9267 eps=136.91
1-39 loss=0.1071 dev_acc=0.9511 test_acc=0.9311 eps=134.05
1-40 loss=0.1058 dev_acc=0.9556 test_acc=0.9222 eps=134.10
1-41 loss=0.1158 dev_acc=0.9533 test_acc=0.9222 eps=135.20
1-42 loss=0.1168 dev_acc=0.9578 test_acc=0.9200 eps=132.68
1-43 loss=0.1103 dev_acc=0.9356 test_acc=0.9022 eps=134.46
1-44 loss=0.1139 dev_acc=0.9600 test_acc=0.9133 eps=132.83
1-45 loss=0.0956 dev_acc=0.9467 test_acc=0.9067 eps=136.11
1-46 loss=0.0996 dev_acc=0.9600 test_acc=0.9067 eps=134.35
1-47 loss=0.0936 dev_acc=0.9644 test_acc=0.9267 eps=134.62
1-48 loss=0.0966 dev_acc=0.9667 test_acc=0.9156 eps=135.94
1-49 loss=0.1222 dev_acc=0.9444 test_acc=0.8956 eps=134.26
1-50 loss=0.0974 dev_acc=0.9711 test_acc=0.9222 eps=135.25
1-51 loss=0.0840 dev_acc=0.9644 test_acc=0.9289 eps=134.98
1-52 loss=0.0790 dev_acc=0.9711 test_acc=0.9289 eps=135.61
1-53 loss=0.0850 dev_acc=0.9756 test_acc=0.9311 eps=133.97
1-54 loss=0.0798 dev_acc=0.9711 test_acc=0.9200 eps=134.61
1-55 loss=0.0692 dev_acc=0.9733 test_acc=0.9289 eps=134.45
1-56 loss=0.0858 dev_acc=0.9800 test_acc=0.9289 eps=134.50
1-57 loss=0.0844 dev_acc=0.9822 test_acc=0.9200 eps=135.61
1-58 loss=0.0807 dev_acc=0.9667 test_acc=0.9156 eps=133.76
1-59 loss=0.0744 dev_acc=0.9644 test_acc=0.9267 eps=131.78
1-60 loss=0.0710 dev_acc=0.9711 test_acc=0.9178 eps=133.22
1-61 loss=0.0636 dev_acc=0.9867 test_acc=0.9289 eps=134.75
1-62 loss=0.0674 dev_acc=0.9711 test_acc=0.9200 eps=133.26
1-63 loss=0.0724 dev_acc=0.9867 test_acc=0.9267 eps=135.44
1-64 loss=0.0814 dev_acc=0.9822 test_acc=0.9267 eps=133.68
2-1 loss=3.2104 dev_acc=0.0467 test_acc=0.0467 eps=130.72
2-2 loss=2.7656 dev_acc=0.2044 test_acc=0.1378 eps=136.21
2-3 loss=2.5984 dev_acc=0.1711 test_acc=0.2133 eps=131.92
2-4 loss=2.4231 dev_acc=0.2111 test_acc=0.2578 eps=133.29
2-5 loss=2.2053 dev_acc=0.2622 test_acc=0.3022 eps=133.06
2-6 loss=1.7650 dev_acc=0.2089 test_acc=0.1778 eps=134.58
2-7 loss=1.4688 dev_acc=0.2356 test_acc=0.1822 eps=135.55
2-8 loss=1.1495 dev_acc=0.6956 test_acc=0.6733 eps=133.09
2-9 loss=0.9127 dev_acc=0.7711 test_acc=0.7356 eps=134.32
2-10 loss=0.7435 dev_acc=0.7200 test_acc=0.7200 eps=135.66
2-11 loss=0.5518 dev_acc=0.8378 test_acc=0.8000 eps=133.79
2-12 loss=0.5067 dev_acc=0.7733 test_acc=0.7711 eps=132.10
2-13 loss=0.4330 dev_acc=0.8756 test_acc=0.8378 eps=137.47
2-14 loss=0.3595 dev_acc=0.8511 test_acc=0.8533 eps=130.09
2-15 loss=0.3278 dev_acc=0.8711 test_acc=0.8600 eps=134.21
2-16 loss=0.3288 dev_acc=0.9111 test_acc=0.8933 eps=131.97
2-17 loss=0.2840 dev_acc=0.4511 test_acc=0.4578 eps=131.94
2-18 loss=0.2647 dev_acc=0.9311 test_acc=0.9111 eps=132.10
2-19 loss=0.2641 dev_acc=0.9000 test_acc=0.8644 eps=135.61
2-20 loss=0.2307 dev_acc=0.8756 test_acc=0.8689 eps=131.97
2-21 loss=0.2363 dev_acc=0.9200 test_acc=0.8889 eps=134.87
2-22 loss=0.2213 dev_acc=0.9244 test_acc=0.8911 eps=133.43
2-23 loss=0.1941 dev_acc=0.9267 test_acc=0.9111 eps=135.50
2-24 loss=0.1924 dev_acc=0.9378 test_acc=0.9067 eps=130.94
2-25 loss=0.1696 dev_acc=0.9533 test_acc=0.9133 eps=133.17
2-26 loss=0.1747 dev_acc=0.9400 test_acc=0.9000 eps=135.10
2-27 loss=0.1657 dev_acc=0.9444 test_acc=0.8956 eps=135.72
2-28 loss=0.1451 dev_acc=0.9578 test_acc=0.9111 eps=132.21
2-29 loss=0.1384 dev_acc=0.9489 test_acc=0.9267 eps=135.34
2-30 loss=0.1388 dev_acc=0.9333 test_acc=0.9000 eps=132.68
2-31 loss=0.1485 dev_acc=0.9400 test_acc=0.9178 eps=133.78
2-32 loss=0.1308 dev_acc=0.9400 test_acc=0.9156 eps=131.89
2-33 loss=0.1461 dev_acc=0.9600 test_acc=0.9156 eps=135.23
2-34 loss=0.1317 dev_acc=0.9467 test_acc=0.9133 eps=132.90
2-35 loss=0.1186 dev_acc=0.9556 test_acc=0.9156 eps=131.68
2-36 loss=0.1150 dev_acc=0.9689 test_acc=0.9200 eps=134.29
2-37 loss=0.1121 dev_acc=0.9444 test_acc=0.8978 eps=135.23
2-38 loss=0.1181 dev_acc=0.9578 test_acc=0.9244 eps=133.06
2-39 loss=0.0922 dev_acc=0.9689 test_acc=0.9289 eps=133.46
2-40 loss=0.1459 dev_acc=0.9733 test_acc=0.9156 eps=134.39
2-41 loss=0.0917 dev_acc=0.9578 test_acc=0.9244 eps=131.55
2-42 loss=0.0844 dev_acc=0.9756 test_acc=0.9178 eps=132.91
2-43 loss=0.0865 dev_acc=0.9711 test_acc=0.9267 eps=134.74
2-44 loss=0.1328 dev_acc=0.9511 test_acc=0.9022 eps=132.38
2-45 loss=0.0909 dev_acc=0.9533 test_acc=0.9178 eps=133.27
2-46 loss=0.0996 dev_acc=0.9689 test_acc=0.9156 eps=134.28
2-47 loss=0.0892 dev_acc=0.9578 test_acc=0.9133 eps=132.82
2-48 loss=0.0853 dev_acc=0.9667 test_acc=0.9133 eps=134.25
2-49 loss=0.0799 dev_acc=0.9644 test_acc=0.9111 eps=133.59
2-50 loss=0.0923 dev_acc=0.9733 test_acc=0.9200 eps=136.67
2-51 loss=0.0751 dev_acc=0.9778 test_acc=0.9267 eps=134.21
2-52 loss=0.0707 dev_acc=0.9711 test_acc=0.9267 eps=132.92
2-53 loss=0.0693 dev_acc=0.9667 test_acc=0.9244 eps=134.33
2-54 loss=0.0727 dev_acc=0.9667 test_acc=0.9267 eps=133.85
2-55 loss=0.0864 dev_acc=0.9556 test_acc=0.9022 eps=134.58
2-56 loss=0.0915 dev_acc=0.9756 test_acc=0.9133 eps=133.14
2-57 loss=0.0667 dev_acc=0.9822 test_acc=0.9222 eps=131.93
2-58 loss=0.0689 dev_acc=0.9756 test_acc=0.9133 eps=133.96
2-59 loss=0.0680 dev_acc=0.9667 test_acc=0.9178 eps=133.90
2-60 loss=0.0689 dev_acc=0.9711 test_acc=0.9200 eps=134.24
2-61 loss=0.0601 dev_acc=0.9644 test_acc=0.9267 eps=134.30
2-62 loss=0.0566 dev_acc=0.9778 test_acc=0.9222 eps=131.59
2-63 loss=0.0545 dev_acc=0.9756 test_acc=0.9200 eps=135.35
2-64 loss=0.0527 dev_acc=0.9756 test_acc=0.9178 eps=131.91
3-1 loss=3.2871 dev_acc=0.1600 test_acc=0.1444 eps=133.67
3-2 loss=2.8327 dev_acc=0.1733 test_acc=0.1644 eps=135.76
3-3 loss=2.6027 dev_acc=0.1000 test_acc=0.1089 eps=134.91
3-4 loss=2.4371 dev_acc=0.2400 test_acc=0.2422 eps=131.59
3-5 loss=2.3104 dev_acc=0.0733 test_acc=0.1000 eps=133.57
3-6 loss=2.1455 dev_acc=0.4244 test_acc=0.3844 eps=132.05
3-7 loss=1.8425 dev_acc=0.4422 test_acc=0.4244 eps=134.66
3-8 loss=1.4498 dev_acc=0.5489 test_acc=0.5578 eps=132.70
3-9 loss=1.2116 dev_acc=0.6844 test_acc=0.6689 eps=135.27
3-10 loss=0.9575 dev_acc=0.7733 test_acc=0.7956 eps=131.84
3-11 loss=0.7679 dev_acc=0.6667 test_acc=0.6578 eps=135.35
3-12 loss=0.6581 dev_acc=0.4000 test_acc=0.3978 eps=134.82
3-13 loss=0.5283 dev_acc=0.8156 test_acc=0.8178 eps=135.17
3-14 loss=0.4883 dev_acc=0.8800 test_acc=0.8644 eps=135.65
3-15 loss=0.4258 dev_acc=0.8778 test_acc=0.8844 eps=132.71
3-16 loss=0.3514 dev_acc=0.7644 test_acc=0.7400 eps=134.29
3-17 loss=0.3550 dev_acc=0.8800 test_acc=0.9000 eps=133.56
3-18 loss=0.3132 dev_acc=0.9222 test_acc=0.9067 eps=133.63
3-19 loss=0.2919 dev_acc=0.9089 test_acc=0.9000 eps=133.62
3-20 loss=0.2814 dev_acc=0.9222 test_acc=0.9044 eps=133.41
3-21 loss=0.2533 dev_acc=0.9333 test_acc=0.9000 eps=132.76
3-22 loss=0.2422 dev_acc=0.9000 test_acc=0.9111 eps=131.80
3-23 loss=0.2767 dev_acc=0.9356 test_acc=0.9067 eps=134.06
3-24 loss=0.2264 dev_acc=0.9467 test_acc=0.9133 eps=132.44
3-25 loss=0.1899 dev_acc=0.9511 test_acc=0.9133 eps=134.49
3-26 loss=0.1881 dev_acc=0.9556 test_acc=0.9311 eps=134.18
3-27 loss=0.1852 dev_acc=0.9489 test_acc=0.9289 eps=135.10
3-28 loss=0.1704 dev_acc=0.9556 test_acc=0.9200 eps=131.43
3-29 loss=0.1620 dev_acc=0.9533 test_acc=0.9289 eps=132.33
3-30 loss=0.1935 dev_acc=0.9533 test_acc=0.9244 eps=132.93
3-31 loss=0.1306 dev_acc=0.9622 test_acc=0.9356 eps=134.32
3-32 loss=0.1517 dev_acc=0.9400 test_acc=0.9089 eps=131.69
3-33 loss=0.1280 dev_acc=0.9667 test_acc=0.9267 eps=135.48
3-34 loss=0.1425 dev_acc=0.9556 test_acc=0.9222 eps=134.07
3-35 loss=0.1604 dev_acc=0.9511 test_acc=0.9200 eps=134.03
3-36 loss=0.1304 dev_acc=0.9667 test_acc=0.9489 eps=132.52
3-37 loss=0.1241 dev_acc=0.9600 test_acc=0.9156 eps=133.54
3-38 loss=0.1224 dev_acc=0.9711 test_acc=0.9400 eps=132.48
3-39 loss=0.1220 dev_acc=0.9733 test_acc=0.9333 eps=133.43
3-40 loss=0.1025 dev_acc=0.9600 test_acc=0.9311 eps=133.64
