0-1 loss=3.0544 dev_acc=0.2711 test_acc=0.2000 eps=166.73
0-2 loss=2.4793 dev_acc=0.2956 test_acc=0.2578 eps=163.56
0-3 loss=2.1702 dev_acc=0.3733 test_acc=0.3111 eps=161.09
0-4 loss=1.9578 dev_acc=0.3311 test_acc=0.3089 eps=160.76
0-5 loss=1.7226 dev_acc=0.4333 test_acc=0.4289 eps=161.40
0-6 loss=1.4768 dev_acc=0.4733 test_acc=0.3978 eps=157.93
0-7 loss=1.0966 dev_acc=0.6356 test_acc=0.5978 eps=161.04
0-8 loss=0.8033 dev_acc=0.7689 test_acc=0.7089 eps=158.12
0-9 loss=0.6308 dev_acc=0.7978 test_acc=0.7933 eps=154.70
0-10 loss=0.5271 dev_acc=0.8311 test_acc=0.7689 eps=159.24
0-11 loss=0.4586 dev_acc=0.8756 test_acc=0.8378 eps=158.23
0-12 loss=0.4152 dev_acc=0.8333 test_acc=0.8022 eps=156.86
0-13 loss=0.3672 dev_acc=0.8911 test_acc=0.8667 eps=159.37
0-14 loss=0.3215 dev_acc=0.8867 test_acc=0.8511 eps=158.24
0-15 loss=0.3138 dev_acc=0.8800 test_acc=0.8489 eps=156.95
0-16 loss=0.2777 dev_acc=0.9133 test_acc=0.8778 eps=160.74
0-17 loss=0.2582 dev_acc=0.9356 test_acc=0.8911 eps=158.40
0-18 loss=0.2523 dev_acc=0.9311 test_acc=0.8933 eps=160.60
0-19 loss=0.2354 dev_acc=0.9156 test_acc=0.8844 eps=155.45
0-20 loss=0.2271 dev_acc=0.8978 test_acc=0.8622 eps=160.63
0-21 loss=0.2224 dev_acc=0.9356 test_acc=0.8844 eps=159.73
0-22 loss=0.1886 dev_acc=0.9467 test_acc=0.9156 eps=158.73
0-23 loss=0.1660 dev_acc=0.9400 test_acc=0.9178 eps=156.58
0-24 loss=0.1825 dev_acc=0.9244 test_acc=0.8933 eps=158.18
0-25 loss=0.1738 dev_acc=0.9156 test_acc=0.8867 eps=160.29
0-26 loss=0.1459 dev_acc=0.9356 test_acc=0.9022 eps=157.86
0-27 loss=0.1769 dev_acc=0.9467 test_acc=0.9044 eps=157.34
0-28 loss=0.1433 dev_acc=0.9511 test_acc=0.9111 eps=158.16
0-29 loss=0.1317 dev_acc=0.9533 test_acc=0.9200 eps=157.43
0-30 loss=0.1402 dev_acc=0.9600 test_acc=0.9089 eps=158.94
0-31 loss=0.1347 dev_acc=0.9667 test_acc=0.9378 eps=158.22
0-32 loss=0.1237 dev_acc=0.9578 test_acc=0.9244 eps=161.59
0-33 loss=0.1089 dev_acc=0.9444 test_acc=0.9133 eps=159.27
0-34 loss=0.1233 dev_acc=0.9667 test_acc=0.9044 eps=160.36
0-35 loss=0.1254 dev_acc=0.9489 test_acc=0.8978 eps=153.59
0-36 loss=0.1037 dev_acc=0.9667 test_acc=0.9267 eps=157.47
0-37 loss=0.0983 dev_acc=0.9622 test_acc=0.9133 eps=158.37
0-38 loss=0.0960 dev_acc=0.9644 test_acc=0.9178 eps=157.22
0-39 loss=0.1133 dev_acc=0.9556 test_acc=0.9222 eps=158.98
0-40 loss=0.0918 dev_acc=0.9622 test_acc=0.9244 eps=158.11
0-41 loss=0.1019 dev_acc=0.9556 test_acc=0.9044 eps=160.94
0-42 loss=0.0852 dev_acc=0.9667 test_acc=0.9200 eps=154.51
0-43 loss=0.0832 dev_acc=0.9667 test_acc=0.9311 eps=159.87
0-44 loss=0.0846 dev_acc=0.9489 test_acc=0.9111 eps=156.97
0-45 loss=0.0898 dev_acc=0.9622 test_acc=0.9133 eps=161.56
0-46 loss=0.0750 dev_acc=0.9711 test_acc=0.9356 eps=157.71
0-47 loss=0.0702 dev_acc=0.9778 test_acc=0.9289 eps=158.75
0-48 loss=0.0814 dev_acc=0.9733 test_acc=0.9244 eps=158.34
0-49 loss=0.0736 dev_acc=0.9622 test_acc=0.9111 eps=157.31
0-50 loss=0.0639 dev_acc=0.9689 test_acc=0.9289 eps=157.98
0-51 loss=0.0814 dev_acc=0.9689 test_acc=0.9200 eps=160.16
0-52 loss=0.0617 dev_acc=0.9778 test_acc=0.9311 eps=157.43
0-53 loss=0.0644 dev_acc=0.9711 test_acc=0.9200 eps=156.46
0-54 loss=0.0606 dev_acc=0.9467 test_acc=0.9133 eps=158.66
0-55 loss=0.0683 dev_acc=0.9733 test_acc=0.9333 eps=157.80
0-56 loss=0.0622 dev_acc=0.9644 test_acc=0.9267 eps=158.85
1-1 loss=3.0877 dev_acc=0.2000 test_acc=0.1867 eps=159.39
1-2 loss=2.4414 dev_acc=0.2156 test_acc=0.2133 eps=158.91
1-3 loss=1.9433 dev_acc=0.4378 test_acc=0.3511 eps=156.79
1-4 loss=1.4937 dev_acc=0.6000 test_acc=0.5600 eps=158.09
1-5 loss=1.1648 dev_acc=0.5133 test_acc=0.4756 eps=157.44
1-6 loss=0.9215 dev_acc=0.6644 test_acc=0.6311 eps=159.35
