0-1 loss=3.2267 dev_acc=0.1356 test_acc=0.1644 eps=196.04
0-2 loss=2.7574 dev_acc=0.1289 test_acc=0.1667 eps=216.79
0-3 loss=2.5003 dev_acc=0.2622 test_acc=0.2333 eps=210.04
0-4 loss=2.1802 dev_acc=0.0511 test_acc=0.0511 eps=213.07
0-5 loss=1.8293 dev_acc=0.3711 test_acc=0.4156 eps=213.75
0-6 loss=1.3640 dev_acc=0.6111 test_acc=0.6178 eps=210.57
0-7 loss=1.0331 dev_acc=0.7978 test_acc=0.7622 eps=209.78
0-8 loss=0.7608 dev_acc=0.6289 test_acc=0.6978 eps=209.15
0-9 loss=0.6300 dev_acc=0.8444 test_acc=0.8622 eps=205.23
0-10 loss=0.5471 dev_acc=0.3400 test_acc=0.3244 eps=208.29
0-11 loss=0.4563 dev_acc=0.8911 test_acc=0.8844 eps=211.72
0-12 loss=0.3954 dev_acc=0.8644 test_acc=0.8622 eps=205.54
0-13 loss=0.3533 dev_acc=0.9044 test_acc=0.8867 eps=205.48
0-14 loss=0.3157 dev_acc=0.9044 test_acc=0.8889 eps=201.84
0-15 loss=0.2977 dev_acc=0.9067 test_acc=0.8733 eps=202.07
0-16 loss=0.2728 dev_acc=0.8844 test_acc=0.8733 eps=203.96
0-17 loss=0.2533 dev_acc=0.9422 test_acc=0.9244 eps=204.58
0-18 loss=0.2162 dev_acc=0.9556 test_acc=0.9111 eps=202.37
0-19 loss=0.2042 dev_acc=0.9378 test_acc=0.9067 eps=203.89
0-20 loss=0.1916 dev_acc=0.6933 test_acc=0.7356 eps=202.21
0-21 loss=0.1892 dev_acc=0.9444 test_acc=0.9022 eps=203.62
0-22 loss=0.1705 dev_acc=0.9578 test_acc=0.9267 eps=207.64
0-23 loss=0.1702 dev_acc=0.8711 test_acc=0.8578 eps=209.91
0-24 loss=0.1594 dev_acc=0.9667 test_acc=0.9311 eps=206.28
0-25 loss=0.1482 dev_acc=0.9533 test_acc=0.9022 eps=199.59
0-26 loss=0.1422 dev_acc=0.9733 test_acc=0.9222 eps=201.47
0-27 loss=0.1434 dev_acc=0.9667 test_acc=0.9200 eps=206.21
0-28 loss=0.1123 dev_acc=0.9711 test_acc=0.9200 eps=205.64
0-29 loss=0.1063 dev_acc=0.9756 test_acc=0.9244 eps=206.06
0-30 loss=0.0959 dev_acc=0.9600 test_acc=0.9178 eps=205.07
0-31 loss=0.1158 dev_acc=0.9711 test_acc=0.9244 eps=206.24
0-32 loss=0.1221 dev_acc=0.8644 test_acc=0.8244 eps=201.22
0-33 loss=0.1044 dev_acc=0.9800 test_acc=0.9200 eps=207.93
0-34 loss=0.1092 dev_acc=0.9644 test_acc=0.9356 eps=204.36
0-35 loss=0.0926 dev_acc=0.9778 test_acc=0.9289 eps=204.01
0-36 loss=0.0771 dev_acc=0.9822 test_acc=0.9289 eps=208.05
0-37 loss=0.0966 dev_acc=0.9444 test_acc=0.9200 eps=204.00
0-38 loss=0.0786 dev_acc=0.9733 test_acc=0.9222 eps=204.84
0-39 loss=0.0681 dev_acc=0.9800 test_acc=0.9267 eps=201.36
0-40 loss=0.0661 dev_acc=0.9778 test_acc=0.9311 eps=206.33
0-41 loss=0.0531 dev_acc=0.9800 test_acc=0.9200 eps=202.98
0-42 loss=0.0658 dev_acc=0.7889 test_acc=0.7933 eps=206.11
0-43 loss=0.0808 dev_acc=0.9622 test_acc=0.9089 eps=200.66
0-44 loss=0.0668 dev_acc=0.9867 test_acc=0.9244 eps=206.93
0-45 loss=0.0517 dev_acc=0.9800 test_acc=0.9200 eps=202.45
0-46 loss=0.0676 dev_acc=0.9822 test_acc=0.9356 eps=204.36
0-47 loss=0.0535 dev_acc=0.9867 test_acc=0.9267 eps=204.10
0-48 loss=0.0591 dev_acc=0.9667 test_acc=0.9111 eps=201.98
0-49 loss=0.0523 dev_acc=0.9844 test_acc=0.9156 eps=202.95
0-50 loss=0.0500 dev_acc=0.9733 test_acc=0.9200 eps=201.53
0-51 loss=0.0420 dev_acc=0.9911 test_acc=0.9178 eps=206.59
0-52 loss=0.0458 dev_acc=0.9644 test_acc=0.9000 eps=205.09
0-53 loss=0.0466 dev_acc=0.9867 test_acc=0.9200 eps=197.76
0-54 loss=0.0442 dev_acc=0.9889 test_acc=0.9222 eps=207.02
