0-1 loss=3.1935 dev_acc=0.1711 test_acc=0.1067 eps=136.14
0-2 loss=2.7292 dev_acc=0.2022 test_acc=0.1956 eps=134.77
0-3 loss=2.5600 dev_acc=0.2133 test_acc=0.2133 eps=134.30
0-4 loss=2.4280 dev_acc=0.2822 test_acc=0.2800 eps=133.92
0-5 loss=2.2204 dev_acc=0.2156 test_acc=0.2667 eps=135.06
0-6 loss=1.9998 dev_acc=0.3978 test_acc=0.3956 eps=134.24
0-7 loss=1.4854 dev_acc=0.5822 test_acc=0.5378 eps=131.42
0-8 loss=1.2237 dev_acc=0.6133 test_acc=0.5867 eps=134.25
0-9 loss=1.0132 dev_acc=0.4133 test_acc=0.3733 eps=134.82
0-10 loss=0.7823 dev_acc=0.7289 test_acc=0.7289 eps=133.97
0-11 loss=0.6533 dev_acc=0.6333 test_acc=0.6444 eps=131.07
0-12 loss=0.5203 dev_acc=0.7044 test_acc=0.7000 eps=134.14
0-13 loss=0.4792 dev_acc=0.8289 test_acc=0.7889 eps=134.41
0-14 loss=0.4154 dev_acc=0.8667 test_acc=0.8511 eps=134.43
0-15 loss=0.3489 dev_acc=0.9156 test_acc=0.8844 eps=133.53
0-16 loss=0.3230 dev_acc=0.9000 test_acc=0.8644 eps=131.24
0-17 loss=0.3280 dev_acc=0.8933 test_acc=0.8733 eps=135.38
0-18 loss=0.3054 dev_acc=0.9067 test_acc=0.8711 eps=134.88
0-19 loss=0.2670 dev_acc=0.9378 test_acc=0.9111 eps=132.10
0-20 loss=0.2803 dev_acc=0.9222 test_acc=0.8867 eps=133.81
0-21 loss=0.2185 dev_acc=0.9311 test_acc=0.9000 eps=132.88
0-22 loss=0.2238 dev_acc=0.9578 test_acc=0.9178 eps=132.89
0-23 loss=0.1960 dev_acc=0.9489 test_acc=0.9044 eps=132.87
0-24 loss=0.1998 dev_acc=0.9289 test_acc=0.8778 eps=133.32
0-25 loss=0.1815 dev_acc=0.9622 test_acc=0.9311 eps=132.88
0-26 loss=0.1732 dev_acc=0.9489 test_acc=0.9111 eps=133.43
0-27 loss=0.1615 dev_acc=0.6711 test_acc=0.6156 eps=133.36
0-28 loss=0.1630 dev_acc=0.9178 test_acc=0.8933 eps=134.05
0-29 loss=0.1520 dev_acc=0.9600 test_acc=0.9000 eps=133.97
0-30 loss=0.1484 dev_acc=0.9489 test_acc=0.8889 eps=134.49
0-31 loss=0.1477 dev_acc=0.9422 test_acc=0.8956 eps=131.63
0-32 loss=0.1346 dev_acc=0.9667 test_acc=0.9267 eps=133.49
0-33 loss=0.1376 dev_acc=0.9600 test_acc=0.9067 eps=134.54
0-34 loss=0.1126 dev_acc=0.9556 test_acc=0.9133 eps=133.72
0-35 loss=0.1385 dev_acc=0.9556 test_acc=0.9111 eps=134.41
0-36 loss=0.1091 dev_acc=0.9689 test_acc=0.9067 eps=131.98
0-37 loss=0.1059 dev_acc=0.9667 test_acc=0.9133 eps=130.37
0-38 loss=0.1332 dev_acc=0.9756 test_acc=0.9222 eps=134.71
0-39 loss=0.0918 dev_acc=0.9756 test_acc=0.9200 eps=132.77
0-40 loss=0.1065 dev_acc=0.9622 test_acc=0.9178 eps=133.21
0-41 loss=0.1135 dev_acc=0.9578 test_acc=0.9089 eps=135.35
0-42 loss=0.1001 dev_acc=0.9756 test_acc=0.9089 eps=133.24
0-43 loss=0.0927 dev_acc=0.9733 test_acc=0.9089 eps=131.66
0-44 loss=0.0848 dev_acc=0.9622 test_acc=0.9156 eps=134.13
0-45 loss=0.0749 dev_acc=0.9689 test_acc=0.9111 eps=131.60
0-46 loss=0.0881 dev_acc=0.9733 test_acc=0.9244 eps=131.53
0-47 loss=0.0917 dev_acc=0.9711 test_acc=0.9089 eps=134.56
0-48 loss=0.0806 dev_acc=0.9778 test_acc=0.9200 eps=132.99
0-49 loss=0.0844 dev_acc=0.9733 test_acc=0.9156 eps=132.79
0-50 loss=0.0759 dev_acc=0.9667 test_acc=0.9111 eps=133.14
1-1 loss=3.2912 dev_acc=0.1600 test_acc=0.1511 eps=133.70
1-2 loss=2.8196 dev_acc=0.1422 test_acc=0.1422 eps=129.94
1-3 loss=2.6004 dev_acc=0.2200 test_acc=0.2133 eps=134.12
1-4 loss=2.4663 dev_acc=0.2378 test_acc=0.2156 eps=133.08
1-5 loss=2.3352 dev_acc=0.2756 test_acc=0.2822 eps=133.94
1-6 loss=2.0964 dev_acc=0.3022 test_acc=0.3200 eps=136.24
1-7 loss=1.7929 dev_acc=0.4578 test_acc=0.4756 eps=131.12
1-8 loss=1.3920 dev_acc=0.6133 test_acc=0.6044 eps=132.24
1-9 loss=1.1018 dev_acc=0.5400 test_acc=0.5600 eps=131.88
1-10 loss=0.8628 dev_acc=0.7267 test_acc=0.7244 eps=133.78
1-11 loss=0.7025 dev_acc=0.6511 test_acc=0.6489 eps=133.19
1-12 loss=0.6119 dev_acc=0.7822 test_acc=0.8289 eps=133.68
1-13 loss=0.5199 dev_acc=0.8178 test_acc=0.8222 eps=134.01
1-14 loss=0.4420 dev_acc=0.7556 test_acc=0.7956 eps=130.79
1-15 loss=0.4254 dev_acc=0.8333 test_acc=0.8156 eps=136.48
1-16 loss=0.3837 dev_acc=0.8756 test_acc=0.8889 eps=133.41
1-17 loss=0.3494 dev_acc=0.8333 test_acc=0.8622 eps=132.57
1-18 loss=0.3436 dev_acc=0.8511 test_acc=0.8533 eps=135.02
1-19 loss=0.2800 dev_acc=0.8400 test_acc=0.8556 eps=131.37
1-20 loss=0.2675 dev_acc=0.8044 test_acc=0.8067 eps=134.35
1-21 loss=0.2642 dev_acc=0.8956 test_acc=0.8889 eps=132.14
1-22 loss=0.2384 dev_acc=0.8978 test_acc=0.8889 eps=131.65
1-23 loss=0.2226 dev_acc=0.8800 test_acc=0.8689 eps=132.61
1-24 loss=0.2008 dev_acc=0.9044 test_acc=0.8956 eps=133.61
1-25 loss=0.2322 dev_acc=0.9044 test_acc=0.9133 eps=133.59
1-26 loss=0.1847 dev_acc=0.8778 test_acc=0.8933 eps=133.68
1-27 loss=0.1662 dev_acc=0.9178 test_acc=0.9022 eps=133.04
1-28 loss=0.1806 dev_acc=0.8622 test_acc=0.8711 eps=133.70
1-29 loss=0.1478 dev_acc=0.9022 test_acc=0.9089 eps=132.86
1-30 loss=0.1409 dev_acc=0.9311 test_acc=0.9200 eps=133.82
1-31 loss=0.1504 dev_acc=0.9222 test_acc=0.9089 eps=133.54
1-32 loss=0.1222 dev_acc=0.9467 test_acc=0.9067 eps=132.90
1-33 loss=0.1791 dev_acc=0.9089 test_acc=0.9022 eps=132.30
1-34 loss=0.1167 dev_acc=0.9311 test_acc=0.9022 eps=134.26
1-35 loss=0.1202 dev_acc=0.8978 test_acc=0.9111 eps=133.03
1-36 loss=0.1289 dev_acc=0.9244 test_acc=0.9156 eps=132.09
1-37 loss=0.1083 dev_acc=0.9244 test_acc=0.9267 eps=135.21
1-38 loss=0.0968 dev_acc=0.9378 test_acc=0.9200 eps=133.12
1-39 loss=0.1185 dev_acc=0.9311 test_acc=0.9244 eps=130.87
1-40 loss=0.1241 dev_acc=0.9356 test_acc=0.9156 eps=135.46
1-41 loss=0.0845 dev_acc=0.9467 test_acc=0.9356 eps=134.73
1-42 loss=0.0872 dev_acc=0.9622 test_acc=0.9289 eps=134.42
1-43 loss=0.0877 dev_acc=0.9244 test_acc=0.9222 eps=133.61
1-44 loss=0.1006 dev_acc=0.9467 test_acc=0.9222 eps=133.57
1-45 loss=0.0818 dev_acc=0.8067 test_acc=0.7867 eps=132.77
1-46 loss=0.0915 dev_acc=0.9422 test_acc=0.9311 eps=134.42
1-47 loss=0.0873 dev_acc=0.9556 test_acc=0.9311 eps=134.57
1-48 loss=0.0706 dev_acc=0.9578 test_acc=0.9289 eps=132.66
1-49 loss=0.0644 dev_acc=0.9467 test_acc=0.9333 eps=133.56
1-50 loss=0.0709 dev_acc=0.9622 test_acc=0.9356 eps=133.08
1-51 loss=0.0710 dev_acc=0.9644 test_acc=0.9356 eps=132.22
1-52 loss=0.0797 dev_acc=0.9356 test_acc=0.9267 eps=132.91
1-53 loss=0.0671 dev_acc=0.9400 test_acc=0.9333 eps=132.47
1-54 loss=0.0582 dev_acc=0.9556 test_acc=0.9156 eps=134.57
1-55 loss=0.0558 dev_acc=0.9600 test_acc=0.9378 eps=132.76
1-56 loss=0.0740 dev_acc=0.9622 test_acc=0.9356 eps=132.64
1-57 loss=0.0400 dev_acc=0.9711 test_acc=0.9400 eps=133.68
1-58 loss=0.0524 dev_acc=0.9556 test_acc=0.9311 eps=134.02
1-59 loss=0.0447 dev_acc=0.9533 test_acc=0.9356 eps=132.38
1-60 loss=0.0438 dev_acc=0.9600 test_acc=0.9178 eps=132.54
1-61 loss=0.0364 dev_acc=0.9422 test_acc=0.9267 eps=135.85
1-62 loss=0.0673 dev_acc=0.9644 test_acc=0.9289 eps=133.44
1-63 loss=0.0388 dev_acc=0.9622 test_acc=0.9356 eps=132.31
1-64 loss=0.0591 dev_acc=0.9356 test_acc=0.9111 eps=135.12
1-65 loss=0.0390 dev_acc=0.9689 test_acc=0.9444 eps=129.42
1-66 loss=0.0322 dev_acc=0.9600 test_acc=0.9333 eps=134.37
1-67 loss=0.0423 dev_acc=0.9533 test_acc=0.9289 eps=131.80
1-68 loss=0.0397 dev_acc=0.9756 test_acc=0.9356 eps=133.38
1-69 loss=0.0231 dev_acc=0.9800 test_acc=0.9311 eps=134.45
1-70 loss=0.0298 dev_acc=0.9511 test_acc=0.9244 eps=133.61
1-71 loss=0.0442 dev_acc=0.9378 test_acc=0.9356 eps=132.72
1-72 loss=0.0394 dev_acc=0.9578 test_acc=0.9400 eps=134.25
1-73 loss=0.0294 dev_acc=0.9533 test_acc=0.9356 eps=130.48
1-74 loss=0.0271 dev_acc=0.9444 test_acc=0.9333 eps=131.70
1-75 loss=0.0212 dev_acc=0.9533 test_acc=0.9356 eps=134.31
1-76 loss=0.0322 dev_acc=0.9733 test_acc=0.9244 eps=131.12
1-77 loss=0.0300 dev_acc=0.9689 test_acc=0.9356 eps=132.74
1-78 loss=0.0222 dev_acc=0.9644 test_acc=0.9400 eps=136.15
1-79 loss=0.0224 dev_acc=0.9556 test_acc=0.9400 eps=133.20
1-80 loss=0.0272 dev_acc=0.9667 test_acc=0.9400 eps=133.61
1-81 loss=0.0190 dev_acc=0.9644 test_acc=0.9444 eps=134.05
1-82 loss=0.0251 dev_acc=0.9778 test_acc=0.9378 eps=134.52
1-83 loss=0.0206 dev_acc=0.9622 test_acc=0.9311 eps=134.48
1-84 loss=0.0226 dev_acc=0.9622 test_acc=0.9489 eps=134.77
1-85 loss=0.0143 dev_acc=0.9689 test_acc=0.9356 eps=133.60
1-86 loss=0.0209 dev_acc=0.9667 test_acc=0.9400 eps=133.75
1-87 loss=0.0213 dev_acc=0.9556 test_acc=0.9422 eps=134.10
1-88 loss=0.0142 dev_acc=0.9711 test_acc=0.9511 eps=133.74
1-89 loss=0.0199 dev_acc=0.9733 test_acc=0.9356 eps=133.31
1-90 loss=0.0170 dev_acc=0.9667 test_acc=0.9356 eps=134.31
1-91 loss=0.0198 dev_acc=0.9689 test_acc=0.9444 eps=133.06
1-92 loss=0.0120 dev_acc=0.9733 test_acc=0.9400 eps=134.84
1-93 loss=0.0113 dev_acc=0.9711 test_acc=0.9356 eps=135.05
1-94 loss=0.0286 dev_acc=0.9711 test_acc=0.9356 eps=134.16
1-95 loss=0.0163 dev_acc=0.9689 test_acc=0.9378 eps=133.24
