0-1 loss=3.0563 dev_acc=0.1600 test_acc=0.1600 eps=205.89
0-2 loss=2.4810 dev_acc=0.2733 test_acc=0.2444 eps=209.68
0-3 loss=2.2236 dev_acc=0.3422 test_acc=0.3489 eps=190.47
0-4 loss=1.9350 dev_acc=0.4822 test_acc=0.4222 eps=157.81
0-5 loss=1.6683 dev_acc=0.3956 test_acc=0.3911 eps=153.45
0-6 loss=1.4732 dev_acc=0.5400 test_acc=0.5267 eps=157.78
0-7 loss=1.1601 dev_acc=0.6667 test_acc=0.6200 eps=157.46
0-8 loss=0.9626 dev_acc=0.6733 test_acc=0.6956 eps=157.64
0-9 loss=0.7480 dev_acc=0.8444 test_acc=0.8222 eps=155.71
0-10 loss=0.6157 dev_acc=0.8244 test_acc=0.7711 eps=158.07
0-11 loss=0.5262 dev_acc=0.8644 test_acc=0.8467 eps=156.66
0-12 loss=0.4297 dev_acc=0.8644 test_acc=0.8400 eps=155.90
0-13 loss=0.3607 dev_acc=0.8822 test_acc=0.8511 eps=156.01
0-14 loss=0.3418 dev_acc=0.8978 test_acc=0.9022 eps=155.57
0-15 loss=0.3022 dev_acc=0.9022 test_acc=0.8911 eps=154.61
0-16 loss=0.2659 dev_acc=0.9089 test_acc=0.8911 eps=155.92
0-17 loss=0.2605 dev_acc=0.9267 test_acc=0.9000 eps=156.98
0-18 loss=0.2285 dev_acc=0.9244 test_acc=0.8778 eps=156.30
0-19 loss=0.2030 dev_acc=0.9333 test_acc=0.9222 eps=153.58
0-20 loss=0.2034 dev_acc=0.9467 test_acc=0.8933 eps=151.73
0-21 loss=0.1970 dev_acc=0.9467 test_acc=0.9022 eps=155.69
0-22 loss=0.1588 dev_acc=0.9178 test_acc=0.8733 eps=154.79
0-23 loss=0.1783 dev_acc=0.9556 test_acc=0.9244 eps=156.32
0-24 loss=0.1555 dev_acc=0.9489 test_acc=0.8933 eps=153.38
0-25 loss=0.1625 dev_acc=0.9333 test_acc=0.9044 eps=154.46
0-26 loss=0.1465 dev_acc=0.9644 test_acc=0.9178 eps=157.17
0-27 loss=0.1235 dev_acc=0.9644 test_acc=0.9200 eps=155.00
0-28 loss=0.1356 dev_acc=0.9667 test_acc=0.9244 eps=156.68
0-29 loss=0.0950 dev_acc=0.9689 test_acc=0.9089 eps=155.12
0-30 loss=0.1312 dev_acc=0.9689 test_acc=0.9267 eps=155.66
0-31 loss=0.1328 dev_acc=0.9622 test_acc=0.9222 eps=156.68
0-32 loss=0.1189 dev_acc=0.9689 test_acc=0.9200 eps=156.61
0-33 loss=0.0977 dev_acc=0.9489 test_acc=0.9133 eps=156.61
0-34 loss=0.1014 dev_acc=0.9689 test_acc=0.9133 eps=154.16
0-35 loss=0.1087 dev_acc=0.9689 test_acc=0.9222 eps=154.06
0-36 loss=0.0840 dev_acc=0.9667 test_acc=0.9222 eps=157.60
0-37 loss=0.0766 dev_acc=0.9756 test_acc=0.9289 eps=156.01
0-38 loss=0.0753 dev_acc=0.9822 test_acc=0.9333 eps=155.47
0-39 loss=0.0827 dev_acc=0.9711 test_acc=0.9222 eps=155.10
0-40 loss=0.0995 dev_acc=0.9444 test_acc=0.9000 eps=155.06
0-41 loss=0.0814 dev_acc=0.9822 test_acc=0.9244 eps=157.32
0-42 loss=0.0637 dev_acc=0.9778 test_acc=0.9244 eps=154.01
0-43 loss=0.0668 dev_acc=0.9867 test_acc=0.9400 eps=156.82
0-44 loss=0.0605 dev_acc=0.9867 test_acc=0.9356 eps=156.36
0-45 loss=0.0576 dev_acc=0.9889 test_acc=0.9222 eps=154.48
0-46 loss=0.0673 dev_acc=0.9889 test_acc=0.9222 eps=153.62
0-47 loss=0.0631 dev_acc=0.9800 test_acc=0.9133 eps=154.03
0-48 loss=0.0653 dev_acc=0.9822 test_acc=0.9333 eps=155.34
0-49 loss=0.0674 dev_acc=0.9822 test_acc=0.9200 eps=155.60
0-50 loss=0.0533 dev_acc=0.9844 test_acc=0.9378 eps=155.56
0-51 loss=0.0544 dev_acc=0.9800 test_acc=0.9222 eps=157.13
0-52 loss=0.0464 dev_acc=0.9956 test_acc=0.9333 eps=153.77
0-53 loss=0.0300 dev_acc=0.9911 test_acc=0.9356 eps=155.43
0-54 loss=0.0414 dev_acc=0.9867 test_acc=0.9356 eps=155.02
0-55 loss=0.0447 dev_acc=0.9844 test_acc=0.9244 eps=154.95
0-56 loss=0.0488 dev_acc=0.9867 test_acc=0.9311 eps=157.52
0-57 loss=0.0478 dev_acc=0.9822 test_acc=0.9222 eps=156.00
0-58 loss=0.0531 dev_acc=0.9844 test_acc=0.9156 eps=154.11
0-59 loss=0.0378 dev_acc=0.9956 test_acc=0.9400 eps=156.46
0-60 loss=0.0284 dev_acc=0.9911 test_acc=0.9333 eps=154.54
0-61 loss=0.0287 dev_acc=0.9978 test_acc=0.9356 eps=153.10
0-62 loss=0.0300 dev_acc=0.9933 test_acc=0.9311 eps=156.15
0-63 loss=0.0278 dev_acc=0.9933 test_acc=0.9356 eps=157.72
0-64 loss=0.0268 dev_acc=0.9956 test_acc=0.9311 eps=155.15
